embedding,labels
[0.37254903 0.47843137 0.5764706 Ellipsis 0.38039216 0.83137256 0.0],[399]
[0.3137255 0.70980394 0.84705883 Ellipsis 0.53333336 0.70980394 0.92156863],[  0 451]
[0.41960785 0.5882353 0.34901962 Ellipsis 0.68235296 0.5764706 0.7372549],[ 27 466]
[0.5529412 0.3254902 0.43137255 Ellipsis 0.54901963 0.654902 0.4],[  0  95 137]
[0.4 0.18431373 0.6666667 Ellipsis 0.2901961 0.31764707 0.38431373],[427 431]
[0.45882353 0.13725491 0.6392157 Ellipsis 0.42745098 0.31764707 0.13725491],[375]
[0.56078434 0.2627451 0.65882355 Ellipsis 0.3529412 0.48235294 0.1254902],[32 34]
[0.73333335 0.20392157 0.4117647 Ellipsis 0.3019608 0.7411765 0.6901961],[137 482]
[0.81960785 0.47843137 0.4745098 Ellipsis 0.21176471 0.8980392 1.0],[137 233]
[0.2627451 0.30980393 0.47843137 Ellipsis 1.0 1.0 0.0],[359 506]
[0.41960785 0.4509804 0.63529414 Ellipsis 0.21960784 1.0 0.9764706],[  0   3  39 137 252]
[0.3529412 0.4627451 0.6313726 Ellipsis 1.0 0.15294118 1.0],[288 370 371]
[0.7607843 0.29411766 0.48235294 Ellipsis 0.67058825 0.5764706 0.53333336],[137 138 139 140 143 146 229 231 251]
[0.65882355 0.5529412 0.7764706 Ellipsis 0.0 0.3137255 0.6117647],[195 212]
[0.4392157 0.42352942 0.32156864 Ellipsis 0.8117647 0.5254902 0.5372549],[330]
[0.8509804 0.57254905 0.13725491 Ellipsis 0.7882353 0.2 0.21960784],[137 220 519]
[0.60784316 0.46666667 0.6117647 Ellipsis 0.23921569 0.34117648 0.22352941],[135 137]
[0.654902 1.0 1.0 Ellipsis 0.4509804 0.0 0.7607843],[ 27 466]
[0.5882353 1.0 0.7764706 Ellipsis 0.23921569 0.46666667 1.0],[137 264]
[0.0 1.0 0.01568628 Ellipsis 0.0 1.0 1.0],[343 348 352]
[0.11764706 0.63529414 0.17254902 Ellipsis 0.6431373 0.11764706 0.84313726],[53]
[0.0 0.58431375 0.5921569 Ellipsis 0.67058825 0.4862745 0.94509804],[361]
[0.18431373 0.4627451 0.6666667 Ellipsis 0.7764706 0.0 0.69803923],[444 456]
[0.5058824 0.12941177 0.69803923 Ellipsis 0.29411766 0.0 0.29803923],[482]
[0.62352943 0.4862745 0.7764706 Ellipsis 1.0 0.89411765 0.34901962],[ 32 137]
[0.827451 0.53333336 0.60784316 Ellipsis 0.57254905 0.4627451 0.21176471],[137 263]
[0.38039216 0.8745098 0.22745098 Ellipsis 0.67058825 0.25882354 0.57254905],[301 305]
[0.84705883 0.7372549 0.7529412 Ellipsis 0.47843137 0.0 0.69411767],[155 156]
[0.7019608 0.74509805 0.47843137 Ellipsis 0.0 0.91764706 0.3882353],[198]
[0.6784314 0.10588235 0.49411765 Ellipsis 0.30980393 0.44313726 0.0],[72 87 89]
[0.3019608 0.59607846 0.654902 Ellipsis 0.6745098 0.72156864 0.18431373],[  0 300 317]
[0.3137255 0.16470589 0.58431375 Ellipsis 0.07450981 0.49019608 0.8156863],[  0 525]
[0.65882355 0.98039216 0.35686275 Ellipsis 0.4392157 0.22352941 0.15686275],[ 27 261]
[0.4392157 0.88235295 0.41568628 Ellipsis 0.6156863 0.58431375 0.0],[310 322 324 396]
[0.7764706 0.29411766 0.27450982 Ellipsis 0.94509804 0.59607846 0.6117647],[137 279]
[0.22745098 0.4 0.40784314 Ellipsis 0.49019608 0.3647059 0.9490196],[437 439]
[0.2 0.44705883 1.0 Ellipsis 0.65882355 0.5058824 0.73333335],[0 2]
[0.04313726 0.59607846 0.54901963 Ellipsis 0.40784314 0.6117647 0.17254902],[288 370 371]
[0.09411765 0.99215686 0.0 Ellipsis 0.40392157 0.77254903 0.0],[473 489]
